PID,county,state,area,poptotal,popdensity,popwhite,popblack,popamerindian,popasian,popother,percwhite,percblack,percamerindan,percasian,percother,popadults,perchsd,percollege,percprof,poppovertyknown,percpovertyknown,percbelowpoverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro,category,dot_size
561,ADAMS,IL,0.052,66090,1270.9,63917,1702,98,249,124,96.7,2.5,0.1,0.3,0.1,43298,75.1,19.6,4.3,63628,96.2,13.1,18.0,11.0,12.4,0,Coal_Heavy,250.9
562,ALEXANDER,IL,0.014,10626,759.0,7054,3496,19,48,9,66.3,32.9,0.1,0.4,0.0,6724,59.7,11.2,2.8,10529,99.0,32.2,45.8,27.3,25.2,0,Solar_Mixed,185.7
563,BOND,IL,0.022,14991,681.4,14477,429,35,16,34,96.5,2.8,0.2,0.1,0.2,9669,69.3,17.0,4.4,14235,94.9,12.0,14.0,10.8,12.6,0,Coal_Heavy,175.9
564,BOONE,IL,0.017,30806,1812.1,29344,127,46,150,1139,95.2,0.4,0.1,0.4,3.6,19272,75.4,17.2,4.1,30337,98.4,7.2,11.1,5.5,6.2,1,Wind_Farm,319.8
565,BROWN,IL,0.018,5836,324.2,5264,547,14,5,6,90.1,9.3,0.2,0.0,0.1,3979,68.8,14.4,3.3,4815,82.5,13.5,13.0,11.1,19.2,0,Coal_Heavy,130.4
566,BUREAU,IL,0.05,35688,713.7,35157,50,65,195,221,98.5,0.1,0.1,0.5,0.6,23444,76.6,18.9,3.2,35107,98.3,10.3,14.1,8.1,11.0,0,Coal_Heavy,180.0
567,CALHOUN,IL,0.017,5322,313.0,5298,1,8,15,0,99.5,0.0,0.1,0.2,0.0,3583,62.8,11.9,3.2,5241,98.4,15.1,13.7,12.9,21.0,0,Solar_Mixed,129.0
568,CARROLL,IL,0.027,16805,622.4,16519,111,30,61,84,98.2,0.6,0.1,0.3,0.4,11323,75.9,16.1,3.0,16455,97.9,11.7,17.2,10.0,9.5,0,Coal_Heavy,168.3
569,CASS,IL,0.024,13437,559.8,13384,16,8,23,6,99.6,0.1,0.0,0.1,0.0,8825,72.2,14.1,3.2,13081,97.3,13.8,17.9,11.9,13.6,0,Coal_Heavy,160.4
571,CHRISTIAN,IL,0.042,34418,819.4,34176,82,51,89,20,99.2,0.2,0.1,0.2,0.0,22945,73.0,13.5,3.0,33788,98.1,11.7,16.3,9.5,11.4,0,Coal_Heavy,193.4
572,CLARK,IL,0.03,15921,530.7,15842,10,26,36,7,99.5,0.0,0.1,0.2,0.0,10734,71.3,15.1,2.7,15615,98.0,12.0,15.3,10.1,12.5,0,Coal_Heavy,156.7
573,CLAY,IL,0.028,14460,516.4,14403,4,17,29,7,99.6,0.0,0.1,0.2,0.0,9647,65.5,13.6,2.7,14248,98.5,16.7,20.5,14.4,17.6,0,Solar_Mixed,154.9
574,CLINTON,IL,0.029,33944,1170.4,32688,1021,48,104,83,96.2,3.0,0.1,0.3,0.2,21563,67.1,15.3,2.8,32190,94.8,10.2,13.2,9.2,8.3,1,Wind_Farm,238.1
575,COLES,IL,0.03,51644,1721.4,50177,925,92,341,109,97.1,1.7,0.1,0.6,0.2,29136,76.1,25.1,8.1,45693,88.4,16.7,16.3,18.7,10.9,0,Coal_Heavy,308.2
577,CRAWFORD,IL,0.026,19464,748.6,19300,63,34,48,19,99.1,0.3,0.1,0.2,0.0,13317,76.0,16.9,3.3,19123,98.2,10.5,13.8,8.8,10.8,0,Coal_Heavy,184.4
578,CUMBERLAND,IL,0.02,10670,533.5,10627,5,6,26,6,99.5,0.0,0.0,0.2,0.0,6727,72.2,14.5,2.6,10590,99.2,12.0,13.6,9.8,15.2,0,Coal_Heavy,157.0
579,DE KALB,IL,0.038,77932,2050.8,72968,2069,123,1751,1021,93.6,2.6,0.1,2.2,1.3,41817,83.8,32.8,11.1,69127,88.7,13.5,8.6,17.0,6.4,1,Nuclear_Mixed,350.2
580,DE WITT,IL,0.023,16516,718.0,16387,25,37,43,24,99.2,0.1,0.2,0.2,0.1,10941,74.6,16.1,3.3,16238,98.3,10.3,13.5,7.9,12.2,0,Coal_Heavy,180.5
581,DOUGLAS,IL,0.025,19464,778.5,19280,16,19,41,108,99.0,0.0,0.0,0.2,0.5,12550,74.0,16.8,3.8,19140,98.3,9.6,13.2,7.9,8.7,0,Coal_Heavy,188.2
583,EDGAR,IL,0.036,19595,544.3,19469,68,24,24,10,99.3,0.3,0.1,0.1,0.0,13082,73.5,16.8,3.6,19258,98.2,16.0,22.8,14.4,11.7,0,Coal_Heavy,158.4
584,EDWARDS,IL,0.013,7440,531.4,7401,6,8,19,6,99.4,0.0,0.1,0.2,0.0,5019,69.6,16.9,2.4,7350,98.7,12.2,15.1,10.9,11.8,0,Coal_Heavy,156.8
585,EFFINGHAM,IL,0.027,31704,1132.2,31523,12,45,95,29,99.4,0.0,0.1,0.2,0.0,19477,74.9,20.2,3.7,31229,98.5,8.9,11.5,6.9,10.5,0,Coal_Heavy,233.2
586,FAYETTE,IL,0.044,20893,474.8,20148,599,40,35,71,96.4,2.8,0.1,0.1,0.3,13894,68.7,13.6,2.9,19452,93.1,13.6,16.6,12.1,13.4,0,Coal_Heavy,149.6
